name,language,event_url,summary,img_url,start_date,ticket_url,price,end_date,city,longitude,latitude,address
LE ENERGIE DEL DENARO - Costellazioni e counseling sistemico,en-us,https://www.eventbrite.it/e/le-energie-del-denaro-costellazioni-e-counseling-sistemico-tickets-933137177417,Incontro serale di sviluppo personale ci gruppo: LE ENERGIE DEL DENARO - Costellazioni e counseling sistemico,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F795781879%2F299827420526%2F1%2Foriginal.20240625-090200?auto=format%2Ccompress&q=75&sharp=10&s=50f68623828bb074771168935089bd5f,2024-09-24,https://www.eventbrite.com/checkout-external?eid=933137177417,24.40,2024-09-24,Milano,9.1979768,45.4773134,via Manin 37
Closer Live | Le storie politiche dell'estate,en-us,https://www.eventbrite.it/e/closer-live-le-storie-politiche-dellestate-tickets-936291512117,Live Podcast con Francesco Oggiano e Carlo Notarpietro,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F798028259%2F537424306409%2F1%2Foriginal.20240628-095649?auto=format%2Ccompress&q=75&sharp=10&s=6a10e6bfb86fffcfd46a6522abdc2312,2024-08-29,https://www.eventbrite.com/checkout-external?eid=936291512117,Gratis,2024-08-29,Milano,9.1549246,45.48881979999999,2 Viale Certosa
POLDI  IN MOTION - mostra fotografica al Museo Poldi Pezzoli,it-it,https://www.eventbrite.it/e/biglietti-poldi-in-motion-mostra-fotografica-al-museo-poldi-pezzoli-935448310077,Visita e laboratorio per famiglie a cura dei Servizi Educativi del MUSEO POLDI PEZZOLI alla mostra Science in Motion,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F797315699%2F253710438677%2F1%2Foriginal.20240627-094653?auto=format%2Ccompress&q=75&sharp=10&s=034e3de80e501f5e78c4d33efc72a4ba,2024-08-03,https://www.eventbrite.com/checkout-external?eid=935448310077,5.00,2024-08-03,Milano,9.191692699999999,45.46852769999999,12 Via Alessandro Manzoni
Startup Mastery: Leveraging Lean Startup  Agile and Design Thinking,en-us,https://www.eventbrite.com/e/startup-mastery-leveraging-lean-startup-agile-and-design-thinking-tickets-894010949817,Startups × Understand Lean Startup vs. Design Thinking vs. Agile,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F689475189%2F441570660064%2F1%2Foriginal.jpg?auto=format%2Ccompress&q=75&sharp=10&s=30c1070737e98bca1536257d47d2983f,2024-07-09,https://www.eventbrite.com/checkout-external?eid=894010949817,99.00,2024-07-09,Milan,9.1885446,45.4637384,Milan
Cloud Day 2024,it-it,https://www.eventbrite.it/e/biglietti-cloud-day-2024-885053608167,Cloud Day è l'evento tecnico dedicato al cloud computing per mostrare come trarne vantaggio parlando di tecnologia feature scenari costi.,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F762069669%2F155407108747%2F1%2Foriginal.20240507-230203?auto=format%2Ccompress&q=75&sharp=10&s=8ec612d5cd08b6982351ec0815f4c5df,2024-11-20,https://www.eventbrite.com/checkout-external?eid=885053608167,69.00,2024-11-20,Milano,9.2077496,45.4438516,6 Via Arcivescovo Calabiana
Cooking Top Italian Food Selection - Cooking Class by Cozymeal™,en-us,https://www.eventbrite.com/e/cooking-top-italian-food-selection-cooking-class-by-cozymealtm-tickets-929032229407,Phenomenal food and incredible company await you at the chef's table! Join Cozymeal’s upcoming cooking class Join “Cooking Top Italian Food Selection” with Chef Francesca & Chef Niccolò for an intimate 3-hour culinary experience and 5-course meal.Cozymeal offers a variety of culinary experiences including cooking classes team building activities food tours and private chef services. We’ll give you a unique unforgettable experience hosted by incredible chefs and guides in over 70 cities acros,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F793110149%2F931232795353%2F1%2Foriginal.20240620-095741?auto=format%2Ccompress&q=75&sharp=10&s=81dc83a14418a29c867b4919636657f7,2024-07-08,https://www.eventbrite.com/checkout-external?eid=929032229407,218.89,2024-07-08,Milan,9.1651138,45.4928610,20155 Milan
Authentic Milanese Pasta Class - Cooking Class by Cozymeal™,en-us,https://www.eventbrite.com/e/authentic-milanese-pasta-class-cooking-class-by-cozymealtm-tickets-929064546067,Phenomenal food and incredible company await you at the chef's table! Join Cozymeal’s upcoming cooking class Join “Authentic Milanese Pasta Class” with Chef Francesca & Chef Niccolò for an intimate 3-hour culinary experience and 6-course meal.Cozymeal offers a variety of culinary experiences including cooking classes team building activities food tours and private chef services. We’ll give you a unique unforgettable experience hosted by incredible chefs and guides in over 70 cities across th,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F793109069%2F931232795353%2F1%2Foriginal.20240620-095523?auto=format%2Ccompress&q=75&sharp=10&s=e949574138753bd06b505c251f6f72e0,2024-07-08,https://www.eventbrite.com/checkout-external?eid=929064546067,154.86,2024-07-08,Milan,9.1651138,45.4928610,20155 Milan
Italian Gastronomy of Your Choice - Cooking Class by Cozymeal™,en-us,https://www.eventbrite.com/e/italian-gastronomy-of-your-choice-cooking-class-by-cozymealtm-tickets-929030925507,Phenomenal food and incredible company await you at the chef's table! Join Cozymeal’s upcoming cooking class Join “Italian Gastronomy of Your Choice” with Chef Francesca & Chef Niccolò for an intimate 3-hour culinary experience and 5-course meal.Cozymeal offers a variety of culinary experiences including cooking classes team building activities food tours and private chef services. We’ll give you a unique unforgettable experience hosted by incredible chefs and guides in over 70 cities across,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F793109209%2F931232795353%2F1%2Foriginal.20240620-095537?auto=format%2Ccompress&q=75&sharp=10&s=94a062d69a389497299495e857429a28,2024-07-08,https://www.eventbrite.com/checkout-external?eid=929030925507,272.24,2024-07-08,Milan,9.1651138,45.4928610,20155 Milan
Hands-On Pasta and Tiramisu Making in Milan - Cooking Class by Cozymeal™,en-us,https://www.eventbrite.com/e/hands-on-pasta-and-tiramisu-making-in-milan-cooking-class-by-cozymealtm-tickets-929029942567,Phenomenal food and incredible company await you at the chef's table! Join Cozymeal’s upcoming cooking class Join “Hands-On Pasta and Tiramisu Making in Milan” with Chef Francesca & Chef Niccolò for an intimate 3-hour culinary experience and 4-course meal.Cozymeal offers a variety of culinary experiences including cooking classes team building activities food tours and private chef services. We’ll give you a unique unforgettable experience hosted by incredible chefs and guides in over 70 cit,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F793108329%2F931232795353%2F1%2Foriginal.20240620-095317?auto=format%2Ccompress&q=75&sharp=10&s=796ee057064b5042c6aae1e22f31f37d,2024-07-08,https://www.eventbrite.com/checkout-external?eid=929029942567,122.85,2024-07-08,Milan,9.1651138,45.4928610,20155 Milan
Fashion Week Runway- VIP Event,it-it,https://www.eventbrite.com/e/biglietti-fashion-week-runway-vip-event-929739906087,Get ready to strut your stuff at Fashion Week Runway- VIP Event where you'll be treated like a star in the front row!,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F793945109%2F2203622721123%2F1%2Foriginal.png?auto=format%2Ccompress&q=75&sharp=10&s=1c3b4b887389609a420fd414f4ee2032,2024-07-31,https://www.eventbrite.com/checkout-external?eid=929739906087,70.58,2024-07-31,Milano,9.1899803,45.4617468,7 Piazza Armando Diaz
Digital Innovation Days: Human Powerfulness,it-it,https://www.eventbrite.it/e/biglietti-digital-innovation-days-human-powerfulness-852754239887,Digital Innovation Days: evento sull'Innovazione e Digitale con speech workshop e networking. Unisciti per esplorare il futuro del settore,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F708139999%2F173457713650%2F1%2Foriginal.20240229-112224?auto=format%2Ccompress&q=75&sharp=10&s=76ccea89b28b293954b6550c001476e6,2024-10-08,https://www.eventbrite.com/checkout-external?eid=852754239887,191.54,2024-10-10,Milano,9.208674499999997,45.44363430000001,6 Via Arcivescovo Calabiana
Cena Cantata miscusi Cadorna,it-it,https://www.eventbrite.it/e/biglietti-cena-cantata-miscusi-cadorna-927192125607,Cena Cantata miscusi Cadorna,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F790866769%2F283920769980%2F1%2Foriginal.20240122-093857?auto=format%2Ccompress&q=75&sharp=10&s=8010dd1a67290f7e480c8739fad32815,2024-07-19,https://www.eventbrite.com/checkout-external?eid=927192125607,10.00,2024-07-19,Milano,9.1740415,45.4683612,13 Via G. Leopardi 20123 Milano
Milan Leadership: Overcome Anxiety with Discipline and Termination!,en-us,https://www.eventbrite.com/e/milan-leadership-overcome-anxiety-with-discipline-and-termination-tickets-806656480247,You should attend if you are a manager or a business owner managing a team of employees or managing a team of managers.,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F704632249%2F449795840092%2F1%2Foriginal.20240225-033224?auto=format%2Ccompress&q=75&sharp=10&s=8fdcdc3471a0c7b3d8acd5d3549d037e,2024-07-07,https://www.eventbrite.com/checkout-external?eid=806656480247,33.84,2024-07-07,Milan,9.189982,45.4642035,Online Webinar Link To Webinar In Email 99999 Milan
